date,smb,hml,umd,rf,rm,rmrf,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,XS1,XS2,XS3,XS4,XS5,XS6,XS7,XS8,XS9,XS10,XS1_W,XS2_W,XS3_W,XS4_W,XS5_W,XS5_W,XS6_W,XS7_W,XS8_W,XS9_W,XS10_W
1980-10-01,-0.001831,-0.0733364,0.0476424,0.0112461,0.060245,0.0489989,0.0291682,0.0020962,0.0252465,0.0205386,0.0035936,0.0167207,0.0283834,0.0459734,0.0300357,0.0465648,0.0179221,-0.0091499,0.0140004,0.0092925,-0.0076525,0.0054746,0.0171373,0.0347273,0.0187896,0.0353187,0.0179221,-0.0091499,0.0140004,0.0092925,-0.0076525,-0.0076525,0.0054746,0.0171373,0.0347273,0.0187896,0.0353187
1980-11-01,0.0064682,-0.0169821,-0.0027695,0.0102017,0.0081329,-0.0020688,0.002645,0.0101358,-0.0203918,0.0206558,-0.0065951,-0.0028191,0.0001612,0.0045884,-0.0023489,0.0008487,-0.0075567,-6.59e-05,-0.0305935,0.0104541,-0.0167968,-0.0130208,-0.0100405,-0.0056133,-0.0125506,-0.009353,-0.0075567,-6.59e-05,-0.0305935,0.0104541,-0.0167968,-0.0167968,-0.0130208,-0.0100405,-0.0056133,-0.0125506,-0.009353
1980-12-01,0.0029056,-0.0023015,0.0059411,0.0102522,-0.0440981,-0.0543503,-0.0126927,-0.0275391,-0.014742,-0.0451734,-0.0487747,-0.0391235,-0.0253077,-0.0452034,-0.0279967,-0.0423245,-0.0229449,-0.0377913,-0.0249942,-0.0554256,-0.0590269,-0.0493757,-0.0355599,-0.0554556,-0.0382489,-0.0525767,-0.0229449,-0.0377913,-0.0249942,-0.0554256,-0.0590269,-0.0590269,-0.0493757,-0.0355599,-0.0554556,-0.0382489,-0.0525767
1981-01-01,0.0199797,0.0044716,-0.0041554,0.0099492,-0.005982,-0.0159312,0.0402581,0.0168423,0.0204971,0.0219684,0.0160272,-0.0010387,0.0161624,0.0147,-0.0226465,-0.0033779,0.0303089,0.0068931,0.0105479,0.0120192,0.006078,-0.0109879,0.0062132,0.0047508,-0.0325957,-0.0133271,0.0303089,0.0068931,0.0105479,0.0120192,0.006078,0.006078,-0.0109879,0.0062132,0.0047508,-0.0325957,-0.0133271
1981-02-01,-0.0081741,0.0219491,-0.0145486,0.0091752,0.0577034,0.0485283,0.0430613,0.0401971,0.0568625,0.0564463,0.0694399,0.0538697,0.0660865,0.071938,0.0968652,0.0732927,0.0338861,0.0310219,0.0476873,0.0472711,0.0602647,0.0446945,0.0569113,0.0627628,0.08769,0.0641175,0.0338861,0.0310219,0.0476873,0.0472711,0.0602647,0.0602647,0.0446945,0.0569113,0.0627628,0.08769,0.0641175
1981-03-01,0.0470975,-0.0112812,0.0076103,0.0091331,0.0232665,0.0141334,0.0394499,0.0530867,0.095561,0.0714039,0.0908604,0.0712932,0.0976677,0.0928137,0.060199,0.0383283,0.0303168,0.0439536,0.0864279,0.0622708,0.0817273,0.0621601,0.0885346,0.0836806,0.0510659,0.0291952,0.0303168,0.0439536,0.0864279,0.0622708,0.0817273,0.0817273,0.0621601,0.0885346,0.0836806,0.0510659,0.0291952
1981-04-01,-0.0092263,0.0759792,-0.058026,0.0089229,0.0770222,0.0680993,0.0973311,0.1175677,0.0840324,0.0665976,0.0915538,0.1005278,0.0801384,0.0883412,0.095337,0.0806636,0.0884082,0.1086448,0.0751095,0.0576747,0.0826309,0.0916049,0.0712155,0.0794183,0.0864141,0.0717407,0.0884082,0.1086448,0.0751095,0.0576747,0.0826309,0.0826309,0.0916049,0.0712155,0.0794183,0.0864141,0.0717407
1981-05-01,0.0456691,-0.0127996,0.0169563,0.0090743,-0.0452445,-0.0543188,0.0088625,0.0179831,0.0168884,0.0097507,-0.0024481,-0.0083319,-0.0087488,-0.0333569,-0.0531295,-0.058333,-0.0002118,0.0089088,0.0078141,0.0006764,-0.0115224,-0.0174062,-0.0178231,-0.0424312,-0.0622038,-0.0674073,-0.0002118,0.0089088,0.0078141,0.0006764,-0.0115224,-0.0115224,-0.0174062,-0.0178231,-0.0424312,-0.0622038,-0.0674073
1981-06-01,-0.0172064,-0.0271622,0.0677993,0.0093938,0.0206095,0.0112157,0.016017,0.0049254,0.0034432,0.0143877,0.0196045,0.012714,-0.0191252,-0.0032638,0.0060969,0.0280645,0.0066232,-0.0044684,-0.0059506,0.0049939,0.0102107,0.0033202,-0.028519,-0.0126576,-0.0032969,0.0186707,0.0066232,-0.0044684,-0.0059506,0.0049939,0.0102107,0.0102107,0.0033202,-0.028519,-0.0126576,-0.0032969,0.0186707
1981-07-01,0.0102559,-0.017588,-0.0005909,0.0108333,0.0011006,-0.0097327,0.0023148,-0.0225034,-0.0045737,-0.0275092,0.0082495,-0.0064395,-0.0084823,0.0015035,-0.0251016,-0.0101157,-0.0085185,-0.0333367,-0.015407,-0.0383425,-0.0025838,-0.0172728,-0.0193156,-0.0093298,-0.0359349,-0.020949,-0.0085185,-0.0333367,-0.015407,-0.0383425,-0.0025838,-0.0025838,-0.0172728,-0.0193156,-0.0093298,-0.0359349,-0.020949
